Id,Model,Ram,Hdd,Location,Price
221,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,Washington D.C.WDC-01,$297.99
222,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,San FranciscoSFO-12,$297.99
223,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,San FranciscoSFO-12,$200.99
224,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,San FranciscoSFO-12,$200.99
225,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$220.99
226,Dell R5102x Intel Xeon E5504,4GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$104.99
227,Dell R5102x Intel Xeon E5620,8GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$165.99
228,HP DL120G7Intel G850,4GBDDR3,4x1TBSATA2,SingaporeSIN-11,S$119.99
229,Dell R6302x Intel Xeon E5-2630v4,64GBDDR4,2x240GBSSD,SingaporeSIN-11,S$489.99
230,Dell R6302x Intel Xeon E5-2630v4,64GBDDR4,2x240GBSSD,Hong KongHKG-10,S$489.99
231,Dell R730XD2x Intel Xeon E5-2620V4,64GBDDR4,4x2TBSATA2,Hong KongHKG-10,S$421.99
232,RH2288v32x Intel Xeon E5-2620V4,64GBDDR4,4x2TBSATA2,SingaporeSIN-11,S$319.99
233,RH2288v32x Intel Xeon E5-2650V4,128GBDDR4,4x480GBSSD,SingaporeSIN-11,S$429.99
234,Dell R210-IIIntel Xeon E3-1270v2,8GBDDR3,2x1TBSATA2,SingaporeSIN-11,S$199.99
235,HP DL120G7Intel G850,16GBDDR3,4x1TBSATA2,FrankfurtFRA-10,€49.99
236,Dell R6202x Intel Xeon E5-2620v2,8GBDDR3,2x1TBSATA2,SingaporeSIN-11,S$319.99
237,Dell R210-IIIntel Xeon E3-1270v2,8GBDDR3,2x1TBSATA2,Hong KongHKG-10,S$199.99
238,Dell R210-IIIntel Xeon E3-1230v2,16GBDDR3,2x500GBSATA2,FrankfurtFRA-10,€74.00
239,HP DL20G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,FrankfurtFRA-10,€112.99
240,HP DL120G7Intel Xeon E3-1230,16GBDDR3,4x1TBSATA2,FrankfurtFRA-10,€75.00
